iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1637839284786644,1637839284786843,1637839287724332,1637839287724333
2,1,56,28,1,1637839287724368,1637839287724368,1637839287724732,1637839287724813,1637839287729651,1637839289299440,1637839289340115,1637839287730325,1637839289299439,1637839289331235,1637839289340115,1637839289697792,1637839291754472,1637839291754472
3,2,84,28,1,1637839291754495,1637839291754495,1637839291754958,1637839291754995,1637839291760425,1637839293491144,1637839293518506,1637839291761420,1637839293491144,1637839293506421,1637839293518507,1637839293758370,1637839295338068,1637839295338068
4,3,112,28,1,1637839295338086,1637839295338086,1637839295338407,1637839295338429,1637839295344693,1637839297055475,1637839297084374,1637839295345795,1637839297055475,1637839297069854,1637839297084374,1637839297265509,1637839298385206,1637839298385206
5,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839298385225,1637839298385859,1637839299446431,1637839299446431
6,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839299446448,1637839299447289,1637839300508283,1637839300508283
7,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839300508294,1637839300509139,1637839301575770,1637839301575770
8,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839301575780,1637839301576393,1637839302376422,1637839302376422
9,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839302376432,1637839302377256,1637839303156823,1637839303156823
10,3,112,0,1,0,0,0,0,0,0,0,0,0,0,1637839303156840,1637839303157562,1637839303898048,1637839303898048
